name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8667,0.7994,0.8547,1.000,1.414,1.000
BRATS_32089.nii.gz,0.8887,0.8225,0.8125,1.000,1.414,2.000
BRATS_32090.nii.gz,0.9078,0.8272,0.7892,1.000,1.000,1.000
BRATS_32091.nii.gz,0.9149,0.8228,0.7457,1.000,1.000,1.000
BRATS_32092.nii.gz,0.9270,0.8501,0.7851,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9425,0.8689,0.8286,1.000,1.000,1.000
BRATS_32094.nii.gz,0.9196,0.8538,0.8337,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9280,0.8584,0.8446,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9325,0.8675,0.8491,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9211,0.8604,0.8571,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9030,0.8144,0.8133,1.000,1.414,1.000
BRATS_32099.nii.gz,0.9100,0.8442,0.8391,1.000,1.000,1.000
BRATS_32100.nii.gz,0.9106,0.8262,0.8456,1.000,1.414,1.000
BRATS_32101.nii.gz,0.8998,0.8148,0.8316,1.000,1.414,1.000
BRATS_32102.nii.gz,0.9109,0.8306,0.8355,1.000,1.000,1.000
BRATS_32103.nii.gz,0.9311,0.8590,0.8346,1.000,1.000,1.166
BRATS_32104.nii.gz,0.9442,0.8611,0.8557,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9549,0.8738,0.8529,0.000,1.000,1.000
BRATS_32106.nii.gz,0.9495,0.8732,0.8750,0.950,1.000,1.000
BRATS_32107.nii.gz,0.9323,0.8525,0.8883,1.000,1.000,1.000
BRATS_32256.nii.gz,0.6612,0.6612,0.0000,6.000,6.000,373.129
BRATS_32257.nii.gz,0.6831,0.6868,0.0000,6.037,6.054,373.129
BRATS_32258.nii.gz,0.7697,0.7731,0.0000,3.606,3.606,373.129
BRATS_32259.nii.gz,0.8177,0.8184,0.0000,2.236,2.236,19.093
BRATS_32260.nii.gz,0.8486,0.8486,0.0000,2.000,2.000,373.129
BRATS_32261.nii.gz,0.8727,0.8719,1.0000,1.414,1.414,0.000
BRATS_32262.nii.gz,0.9052,0.9052,1.0000,1.000,1.000,0.000
BRATS_32263.nii.gz,0.9213,0.9213,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9328,0.9328,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9445,0.9445,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9373,0.9373,0.0000,1.000,1.000,373.129
BRATS_32267.nii.gz,0.9208,0.9174,0.6909,1.000,1.000,1.124
BRATS_32268.nii.gz,0.9199,0.9114,0.8000,1.000,1.000,1.000
BRATS_32269.nii.gz,0.9098,0.8952,0.7432,1.000,1.000,6.083
BRATS_32270.nii.gz,0.9009,0.8830,0.6825,1.000,1.000,6.204
BRATS_32271.nii.gz,0.8964,0.8536,0.6923,1.000,1.414,5.831
BRATS_32272.nii.gz,0.9212,0.8709,0.7441,1.000,1.000,4.472
BRATS_32273.nii.gz,0.9058,0.8576,0.7667,1.000,1.414,3.008
BRATS_32274.nii.gz,0.8988,0.8568,0.8096,1.000,2.000,2.000
BRATS_32275.nii.gz,0.9180,0.8679,0.8742,1.000,1.414,1.000
BRATS_32424.nii.gz,0.8073,0.7588,0.8879,2.828,2.940,1.000
BRATS_32425.nii.gz,0.8202,0.7880,0.9282,2.236,2.828,1.000
BRATS_32426.nii.gz,0.8675,0.8444,0.8544,2.000,2.000,1.000
BRATS_32427.nii.gz,0.8593,0.8520,0.8664,2.236,2.000,1.000
BRATS_32428.nii.gz,0.8477,0.8456,0.7982,2.000,2.000,4.175
BRATS_32429.nii.gz,0.8451,0.8491,0.7907,2.000,2.000,4.055
BRATS_32430.nii.gz,0.8050,0.8150,0.6667,3.000,2.828,3.000
BRATS_32431.nii.gz,0.7727,0.7831,0.3226,3.000,2.828,3.081
BRATS_32432.nii.gz,0.7613,0.7793,1.0000,4.123,3.606,0.000
BRATS_32433.nii.gz,0.7395,0.7530,1.0000,4.201,4.000,0.000
BRATS_32434.nii.gz,0.6927,0.7053,0.0000,5.000,4.243,373.129
BRATS_32435.nii.gz,0.7351,0.7500,1.0000,5.185,4.472,0.000
BRATS_32436.nii.gz,0.6291,0.6388,1.0000,8.602,8.062,0.000
BRATS_32437.nii.gz,0.7070,0.7122,1.0000,7.127,6.869,0.000
BRATS_32438.nii.gz,0.8894,0.8894,1.0000,1.000,1.000,0.000
BRATS_32439.nii.gz,0.8904,0.8904,1.0000,1.000,1.000,0.000
BRATS_32440.nii.gz,0.8790,0.8790,1.0000,1.000,1.000,0.000
BRATS_32441.nii.gz,0.7569,0.7596,1.0000,3.000,3.000,0.000
BRATS_32442.nii.gz,0.8057,0.8043,1.0000,2.000,2.000,0.000
BRATS_32443.nii.gz,0.7248,0.7248,1.0000,2.828,2.828,0.000
BRATS_32592.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32593.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32594.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32595.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32596.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32597.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32598.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32599.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32600.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32601.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32602.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32603.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32604.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32605.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32606.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32607.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32608.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.0000,0.0000,1.0000,24.309,24.176,0.000
BRATS_32763.nii.gz,0.3597,0.3597,1.0000,8.999,8.999,0.000
BRATS_32764.nii.gz,0.2391,0.2391,1.0000,9.434,9.434,0.000
BRATS_32765.nii.gz,0.4563,0.4563,1.0000,7.071,7.071,0.000
BRATS_32766.nii.gz,0.4326,0.4326,1.0000,8.062,8.062,0.000
BRATS_32767.nii.gz,0.5147,0.5147,1.0000,5.299,5.299,0.000
BRATS_32768.nii.gz,0.5685,0.5685,1.0000,4.086,4.086,0.000
BRATS_32769.nii.gz,0.6000,0.6000,1.0000,8.947,8.947,0.000
BRATS_32770.nii.gz,0.7647,0.7647,1.0000,5.924,5.924,0.000
BRATS_32771.nii.gz,0.7896,0.7896,1.0000,5.477,5.477,0.000
BRATS_32772.nii.gz,0.8029,0.8029,1.0000,2.236,2.236,0.000
BRATS_32773.nii.gz,0.8295,0.8295,1.0000,1.414,1.414,0.000
BRATS_32774.nii.gz,0.8583,0.8583,1.0000,1.000,1.000,0.000
BRATS_32775.nii.gz,0.8590,0.8590,1.0000,1.186,1.186,0.000
BRATS_32776.nii.gz,0.8826,0.8826,1.0000,1.000,1.000,0.000
BRATS_32777.nii.gz,0.8470,0.8470,1.0000,1.414,1.414,0.000
BRATS_32778.nii.gz,0.8489,0.8640,0.0000,2.000,1.000,373.129
BRATS_32779.nii.gz,0.8608,0.8786,0.0000,2.000,1.000,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32931.nii.gz,0.1212,0.1212,1.0000,25.063,25.063,0.000
