name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8279,0.7339,0.8523,1.414,2.000,1.000
BRATS_32089.nii.gz,0.8575,0.7757,0.8000,1.414,2.000,2.000
BRATS_32090.nii.gz,0.8872,0.8022,0.7890,1.000,1.000,1.000
BRATS_32091.nii.gz,0.8956,0.7885,0.7470,1.000,1.000,1.000
BRATS_32092.nii.gz,0.9004,0.7898,0.7784,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9152,0.8209,0.8315,1.000,1.000,1.000
BRATS_32094.nii.gz,0.8998,0.8225,0.8229,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9090,0.8253,0.8488,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9147,0.8420,0.8416,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9055,0.8392,0.8479,1.000,1.000,1.000
BRATS_32098.nii.gz,0.8948,0.7973,0.7990,1.000,1.414,1.000
BRATS_32099.nii.gz,0.8951,0.8145,0.8298,1.000,1.414,1.000
BRATS_32100.nii.gz,0.9031,0.8219,0.8418,1.000,1.414,1.000
BRATS_32101.nii.gz,0.9001,0.8175,0.8201,1.000,1.414,1.000
BRATS_32102.nii.gz,0.9052,0.8232,0.8285,1.000,1.000,1.000
BRATS_32103.nii.gz,0.9154,0.8296,0.8333,1.000,1.414,1.000
BRATS_32104.nii.gz,0.9244,0.8343,0.8342,1.000,1.311,1.000
BRATS_32105.nii.gz,0.9319,0.8529,0.8208,1.000,1.000,1.000
BRATS_32106.nii.gz,0.9344,0.8631,0.8465,1.000,1.000,1.000
BRATS_32107.nii.gz,0.9331,0.8536,0.8814,1.000,1.000,1.000
BRATS_32256.nii.gz,0.3115,0.3115,0.0000,9.434,9.434,373.129
BRATS_32257.nii.gz,0.4265,0.4265,0.0000,8.953,8.953,373.129
BRATS_32258.nii.gz,0.6050,0.5984,0.0000,6.708,6.840,373.129
BRATS_32259.nii.gz,0.6839,0.6825,0.0000,5.000,5.000,19.995
BRATS_32260.nii.gz,0.7843,0.7822,0.0000,2.828,2.828,373.129
BRATS_32261.nii.gz,0.8200,0.8198,0.0000,2.236,2.236,373.129
BRATS_32262.nii.gz,0.8703,0.8709,0.0000,1.414,1.414,373.129
BRATS_32263.nii.gz,0.8870,0.8875,1.0000,1.414,1.414,0.000
