name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8699,0.7932,0.8684,1.000,1.414,1.000
BRATS_32089.nii.gz,0.8846,0.8172,0.8166,1.000,1.414,1.414
BRATS_32090.nii.gz,0.9094,0.8212,0.7704,1.000,1.000,1.000
BRATS_32091.nii.gz,0.9032,0.7956,0.7283,1.000,1.000,1.000
BRATS_32092.nii.gz,0.9192,0.8289,0.7840,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9368,0.8560,0.8338,1.000,1.000,1.000
BRATS_32094.nii.gz,0.9164,0.8425,0.8238,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9245,0.8571,0.8565,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9266,0.8613,0.8496,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9181,0.8529,0.8440,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9035,0.8063,0.8272,1.000,2.000,1.414
BRATS_32099.nii.gz,0.8945,0.7790,0.7889,2.000,2.236,1.414
BRATS_32100.nii.gz,0.8957,0.7996,0.8360,1.414,2.000,1.414
BRATS_32101.nii.gz,0.8954,0.7980,0.8245,1.414,2.000,1.000
BRATS_32102.nii.gz,0.9143,0.8147,0.8421,1.000,1.414,1.000
BRATS_32103.nii.gz,0.9392,0.8474,0.8364,1.000,1.000,1.000
BRATS_32104.nii.gz,0.9375,0.8457,0.8150,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9526,0.8782,0.8418,0.000,1.000,1.000
BRATS_32106.nii.gz,0.9425,0.8761,0.8571,1.000,1.000,1.000
BRATS_32107.nii.gz,0.9328,0.8630,0.8691,1.000,1.000,1.000
BRATS_32256.nii.gz,0.4306,0.4315,0.0000,9.262,9.273,373.129
BRATS_32257.nii.gz,0.5169,0.5144,0.0000,9.000,9.000,373.129
BRATS_32258.nii.gz,0.5671,0.5647,0.0000,9.686,9.758,373.129
BRATS_32259.nii.gz,0.7284,0.7271,0.0000,3.606,3.606,19.758
BRATS_32260.nii.gz,0.8010,0.8017,0.0000,2.236,2.236,373.129
BRATS_32261.nii.gz,0.8600,0.8607,0.0000,2.000,2.000,373.129
BRATS_32262.nii.gz,0.8931,0.8930,0.0000,1.414,1.414,373.129
BRATS_32263.nii.gz,0.8911,0.8916,0.0000,1.414,1.414,373.129
BRATS_32264.nii.gz,0.9129,0.9129,0.0000,1.000,1.000,373.129
BRATS_32265.nii.gz,0.9086,0.9086,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9042,0.9019,0.7059,1.000,1.000,1.000
BRATS_32267.nii.gz,0.8944,0.8908,0.7797,1.414,1.414,1.000
BRATS_32268.nii.gz,0.8888,0.8821,0.7879,2.000,2.000,1.000
BRATS_32269.nii.gz,0.8505,0.8384,0.7600,2.236,2.236,6.083
BRATS_32270.nii.gz,0.8149,0.8068,0.7248,2.828,2.828,6.012
BRATS_32271.nii.gz,0.8058,0.7870,0.7550,2.828,2.828,5.385
BRATS_32272.nii.gz,0.8722,0.8602,0.7167,2.000,2.000,6.130
BRATS_32273.nii.gz,0.8501,0.8374,0.7427,2.000,2.000,4.123
BRATS_32274.nii.gz,0.8650,0.8548,0.7774,2.224,2.236,3.162
BRATS_32275.nii.gz,0.9171,0.8989,0.8634,1.000,1.000,1.000
BRATS_32424.nii.gz,0.8417,0.7984,0.8667,2.142,2.236,1.000
BRATS_32425.nii.gz,0.8270,0.7936,0.9020,2.236,2.236,1.000
BRATS_32426.nii.gz,0.8618,0.8386,0.8544,2.000,2.000,1.000
BRATS_32427.nii.gz,0.8432,0.8374,0.8930,2.236,2.000,1.000
BRATS_32428.nii.gz,0.8498,0.8480,0.8529,2.000,2.000,1.000
BRATS_32429.nii.gz,0.8295,0.8341,0.7665,2.000,2.000,4.086
BRATS_32430.nii.gz,0.7685,0.7786,0.6596,3.162,3.000,3.000
BRATS_32431.nii.gz,0.7191,0.7305,0.4167,4.123,3.961,1.414
BRATS_32432.nii.gz,0.5977,0.6100,1.0000,7.314,6.095,0.000
BRATS_32433.nii.gz,0.6159,0.6276,1.0000,7.000,6.004,0.000
BRATS_32434.nii.gz,0.6201,0.6325,1.0000,7.071,6.617,0.000
BRATS_32435.nii.gz,0.6188,0.6301,1.0000,7.071,7.000,0.000
BRATS_32436.nii.gz,0.5139,0.5189,0.0000,10.693,10.630,373.129
