name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8498,0.7744,0.8235,1.414,1.883,1.000
BRATS_32089.nii.gz,0.8777,0.8068,0.7973,1.000,1.912,2.000
BRATS_32090.nii.gz,0.8967,0.8163,0.7772,1.000,1.000,1.000
BRATS_32091.nii.gz,0.9033,0.7979,0.7314,1.000,1.000,1.414
BRATS_32092.nii.gz,0.9066,0.8232,0.7705,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9361,0.8604,0.8391,1.000,1.000,1.000
BRATS_32094.nii.gz,0.9082,0.8400,0.8413,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9119,0.8343,0.8360,1.000,1.414,1.000
BRATS_32096.nii.gz,0.9215,0.8506,0.8449,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9150,0.8514,0.8400,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9010,0.8136,0.8265,1.414,2.000,1.000
BRATS_32099.nii.gz,0.8928,0.8119,0.8194,2.000,2.236,1.000
BRATS_32100.nii.gz,0.8977,0.8136,0.8251,1.414,1.414,1.000
BRATS_32101.nii.gz,0.8919,0.8093,0.8207,1.414,2.000,1.000
BRATS_32102.nii.gz,0.9061,0.8312,0.8415,1.000,1.414,1.000
BRATS_32103.nii.gz,0.9244,0.8517,0.8355,1.000,1.000,1.000
BRATS_32104.nii.gz,0.9352,0.8489,0.8527,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9513,0.8693,0.8499,0.000,1.000,1.000
BRATS_32106.nii.gz,0.9535,0.8771,0.8765,0.000,1.000,1.000
BRATS_32107.nii.gz,0.9380,0.8544,0.8731,1.000,1.000,1.000
BRATS_32256.nii.gz,0.6156,0.6208,0.0000,6.083,6.163,373.129
BRATS_32257.nii.gz,0.7275,0.7367,0.0000,4.000,4.000,373.129
BRATS_32258.nii.gz,0.7633,0.7673,0.0000,3.016,3.057,373.129
BRATS_32259.nii.gz,0.8178,0.8192,0.0000,2.000,2.000,19.726
BRATS_32260.nii.gz,0.8398,0.8398,1.0000,2.000,2.000,0.000
BRATS_32261.nii.gz,0.8693,0.8693,1.0000,1.414,1.414,0.000
BRATS_32262.nii.gz,0.9052,0.9052,1.0000,1.000,1.000,0.000
BRATS_32263.nii.gz,0.9218,0.9218,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9320,0.9320,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9375,0.9375,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9245,0.9245,0.0000,1.000,1.000,373.129
BRATS_32267.nii.gz,0.9170,0.9135,0.5306,1.000,1.000,2.000
BRATS_32268.nii.gz,0.9240,0.9166,0.8119,1.000,1.000,1.000
BRATS_32269.nii.gz,0.9170,0.8986,0.7600,1.000,1.000,6.083
BRATS_32270.nii.gz,0.9073,0.8878,0.6699,1.000,1.000,6.228
BRATS_32271.nii.gz,0.9097,0.8708,0.7148,1.000,1.000,5.831
BRATS_32272.nii.gz,0.9258,0.8758,0.7559,1.000,1.000,4.415
BRATS_32273.nii.gz,0.9158,0.8541,0.7729,1.000,1.414,2.236
BRATS_32274.nii.gz,0.8994,0.8540,0.8096,1.414,2.000,2.000
BRATS_32275.nii.gz,0.9199,0.8696,0.8772,1.000,1.414,1.000
BRATS_32424.nii.gz,0.7957,0.7461,0.8879,2.828,3.000,1.000
BRATS_32425.nii.gz,0.8093,0.7752,0.9238,2.828,2.828,1.000
BRATS_32426.nii.gz,0.8647,0.8421,0.8544,2.000,2.000,1.000
BRATS_32427.nii.gz,0.8506,0.8404,0.8611,2.236,2.000,1.000
BRATS_32428.nii.gz,0.8305,0.8280,0.7857,2.236,2.236,5.084
BRATS_32429.nii.gz,0.8142,0.8178,0.7791,2.828,2.828,4.055
BRATS_32430.nii.gz,0.7759,0.7882,0.6957,3.822,3.362,2.106
