name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8686,0.7966,0.8382,1.000,1.414,1.000
BRATS_32089.nii.gz,0.8844,0.8148,0.7987,1.000,1.414,1.414
BRATS_32090.nii.gz,0.9002,0.8169,0.7913,1.000,1.000,1.000
BRATS_32091.nii.gz,0.8989,0.7806,0.7278,1.000,1.000,1.414
BRATS_32092.nii.gz,0.9044,0.8005,0.7757,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9274,0.8433,0.8226,1.000,1.000,1.000
BRATS_32094.nii.gz,0.9055,0.8234,0.8224,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9159,0.8411,0.8609,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9260,0.8533,0.8433,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9071,0.8357,0.8362,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9045,0.8193,0.8224,1.414,1.649,1.000
BRATS_32099.nii.gz,0.8993,0.8074,0.8351,1.414,1.414,1.000
BRATS_32100.nii.gz,0.9053,0.8129,0.8358,1.000,1.414,1.000
BRATS_32101.nii.gz,0.8914,0.7942,0.8253,1.414,1.414,1.000
BRATS_32102.nii.gz,0.9072,0.8152,0.8168,1.000,1.000,1.000
BRATS_32103.nii.gz,0.9331,0.8537,0.8374,1.000,1.000,1.000
BRATS_32104.nii.gz,0.9424,0.8615,0.8146,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9573,0.8899,0.8462,0.000,1.000,1.000
BRATS_32106.nii.gz,0.9494,0.8901,0.8662,1.000,1.000,1.000
BRATS_32107.nii.gz,0.9353,0.8720,0.8744,1.000,1.000,1.000
BRATS_32256.nii.gz,0.5810,0.5859,0.0000,7.085,7.120,373.129
BRATS_32257.nii.gz,0.5939,0.5974,0.0000,8.062,8.062,373.129
BRATS_32258.nii.gz,0.6427,0.6375,0.0000,8.844,8.947,373.129
BRATS_32259.nii.gz,0.6405,0.6361,0.0000,7.000,7.071,23.315
BRATS_32260.nii.gz,0.7349,0.7306,0.0000,3.162,3.162,373.129
BRATS_32261.nii.gz,0.8128,0.8119,0.0000,2.236,2.236,373.129
BRATS_32262.nii.gz,0.8573,0.8511,0.0000,2.000,2.000,373.129
BRATS_32263.nii.gz,0.8871,0.8862,0.0000,1.414,1.414,373.129
BRATS_32264.nii.gz,0.8999,0.8985,0.0000,1.000,1.000,373.129
BRATS_32265.nii.gz,0.9032,0.8989,0.0000,1.000,1.000,2.154
BRATS_32266.nii.gz,0.9069,0.9050,0.8182,1.000,1.000,1.000
BRATS_32267.nii.gz,0.9107,0.9048,0.8571,1.000,1.000,1.000
BRATS_32268.nii.gz,0.8984,0.8906,0.8462,1.414,1.414,1.000
BRATS_32269.nii.gz,0.8849,0.8724,0.7517,2.000,2.000,6.083
BRATS_32270.nii.gz,0.8782,0.8680,0.6887,1.414,2.000,6.192
BRATS_32271.nii.gz,0.8694,0.8475,0.6643,2.000,2.000,6.000
BRATS_32272.nii.gz,0.9019,0.8890,0.7184,1.000,1.000,5.831
BRATS_32273.nii.gz,0.9139,0.8745,0.7379,1.000,1.000,4.037
BRATS_32274.nii.gz,0.9278,0.8870,0.7889,1.000,1.000,3.081
BRATS_32275.nii.gz,0.9305,0.8714,0.8630,1.000,1.000,1.000
BRATS_32424.nii.gz,0.8160,0.7734,0.8899,2.828,2.828,1.000
BRATS_32425.nii.gz,0.8329,0.8027,0.9340,2.236,2.236,1.000
BRATS_32426.nii.gz,0.8579,0.8340,0.8571,2.000,2.000,1.000
BRATS_32427.nii.gz,0.8412,0.8328,0.8950,2.035,2.000,1.000
BRATS_32428.nii.gz,0.8549,0.8509,0.8447,2.000,2.000,1.000
BRATS_32429.nii.gz,0.8536,0.8605,0.7746,2.000,2.000,4.171
BRATS_32430.nii.gz,0.7800,0.7884,0.6374,2.991,2.828,3.000
BRATS_32431.nii.gz,0.6380,0.6462,0.5000,6.000,5.271,2.236
BRATS_32432.nii.gz,0.6969,0.7132,1.0000,5.099,4.472,0.000
BRATS_32433.nii.gz,0.6117,0.6236,0.0000,6.000,5.099,373.129
BRATS_32434.nii.gz,0.5634,0.5745,0.0000,7.207,7.014,373.129
BRATS_32435.nii.gz,0.5953,0.6059,1.0000,6.810,6.708,0.000
BRATS_32436.nii.gz,0.5511,0.5566,0.0000,9.055,8.602,373.129
BRATS_32437.nii.gz,0.6272,0.6334,1.0000,5.831,5.657,0.000
BRATS_32438.nii.gz,0.6650,0.6667,1.0000,4.000,4.000,0.000
BRATS_32439.nii.gz,0.7198,0.7163,1.0000,2.236,2.236,0.000
BRATS_32440.nii.gz,0.8711,0.8711,1.0000,1.000,1.000,0.000
BRATS_32441.nii.gz,0.7443,0.7443,0.0000,4.243,4.243,373.129
BRATS_32442.nii.gz,0.7589,0.7589,1.0000,3.000,3.000,0.000
BRATS_32443.nii.gz,0.7692,0.7692,1.0000,2.000,2.000,0.000
BRATS_32592.nii.gz,0.0000,0.0000,1.0000,15.000,15.000,0.000
BRATS_32593.nii.gz,0.0000,0.0000,1.0000,22.943,22.943,0.000
BRATS_32594.nii.gz,0.0000,0.0000,1.0000,33.287,33.242,0.000
BRATS_32595.nii.gz,0.0000,0.0000,0.0000,61.317,61.381,373.129
BRATS_32596.nii.gz,0.0944,0.1090,1.0000,12.708,12.320,0.000
BRATS_32597.nii.gz,0.0868,0.1134,0.0000,16.991,16.000,373.129
BRATS_32598.nii.gz,0.0000,0.0000,0.0000,31.901,29.727,373.129
BRATS_32599.nii.gz,0.0000,0.0000,0.0000,23.345,23.734,373.129
BRATS_32600.nii.gz,0.0081,0.0141,0.1538,15.563,16.260,4.824
BRATS_32601.nii.gz,0.0000,0.0000,0.0000,32.353,32.588,373.129
BRATS_32602.nii.gz,0.0000,0.0000,0.0000,25.485,26.037,373.129
BRATS_32603.nii.gz,0.0078,0.0140,0.1538,18.974,21.508,3.606
BRATS_32604.nii.gz,0.0000,0.0000,0.0000,23.304,21.018,373.129
BRATS_32605.nii.gz,0.0000,0.0000,1.0000,21.260,18.447,0.000
BRATS_32606.nii.gz,0.0000,0.0000,1.0000,22.361,20.518,0.000
BRATS_32607.nii.gz,0.0000,0.0000,1.0000,23.572,22.757,0.000
BRATS_32608.nii.gz,0.0000,0.0000,1.0000,29.628,24.869,0.000
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,32.431,31.291,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.4189,0.4218,0.0000,11.951,11.614,373.129
