name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8011,0.6953,0.8398,2.236,2.828,1.000
BRATS_32089.nii.gz,0.8095,0.6947,0.7927,2.236,3.000,1.414
BRATS_32090.nii.gz,0.8480,0.7365,0.7697,1.414,2.000,1.104
BRATS_32091.nii.gz,0.8149,0.6776,0.7290,2.000,2.621,1.000
BRATS_32092.nii.gz,0.8720,0.7418,0.7578,1.000,1.414,1.000
BRATS_32093.nii.gz,0.8948,0.7783,0.8134,1.000,1.414,1.000
BRATS_32094.nii.gz,0.8891,0.8016,0.8050,1.000,1.000,1.414
BRATS_32095.nii.gz,0.8896,0.8015,0.8302,1.000,1.414,1.352
BRATS_32096.nii.gz,0.8953,0.8065,0.8418,1.000,1.414,1.000
BRATS_32097.nii.gz,0.8857,0.8119,0.8376,1.000,1.414,1.000
BRATS_32098.nii.gz,0.8905,0.8056,0.8152,1.000,1.414,1.000
BRATS_32099.nii.gz,0.8954,0.8222,0.8105,1.000,1.000,1.000
BRATS_32100.nii.gz,0.8875,0.8136,0.8175,1.414,1.912,1.000
BRATS_32101.nii.gz,0.8881,0.8199,0.8172,1.414,1.414,1.000
BRATS_32102.nii.gz,0.8988,0.8454,0.8267,1.000,1.000,1.000
BRATS_32103.nii.gz,0.9133,0.8611,0.8213,1.000,1.000,1.414
BRATS_32104.nii.gz,0.9319,0.8702,0.8496,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9308,0.8831,0.8325,1.000,1.000,1.000
BRATS_32106.nii.gz,0.9236,0.8768,0.8564,1.000,1.000,1.000
BRATS_32107.nii.gz,0.9085,0.8579,0.8734,1.000,1.000,1.000
BRATS_32256.nii.gz,0.3052,0.3052,0.0000,11.000,11.000,373.129
BRATS_32257.nii.gz,0.4886,0.4886,0.0000,10.257,10.257,373.129
BRATS_32258.nii.gz,0.5287,0.5287,0.0000,10.332,10.332,373.129
BRATS_32259.nii.gz,0.5226,0.5226,0.0000,8.637,8.637,373.129
BRATS_32260.nii.gz,0.5568,0.5568,1.0000,8.491,8.491,0.000
BRATS_32261.nii.gz,0.6343,0.6343,1.0000,5.899,5.899,0.000
BRATS_32262.nii.gz,0.6590,0.6590,1.0000,6.000,6.000,0.000
