name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8598,0.7937,0.8331,2.000,2.236,1.000
BRATS_32089.nii.gz,0.8803,0.8155,0.8039,1.414,2.000,2.000
BRATS_32090.nii.gz,0.8995,0.8250,0.8204,1.000,1.414,1.000
BRATS_32091.nii.gz,0.9169,0.8430,0.8167,1.000,1.000,1.000
BRATS_32092.nii.gz,0.9183,0.8379,0.8031,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9314,0.8560,0.8287,1.000,1.000,1.000
BRATS_32094.nii.gz,0.9150,0.8436,0.8404,1.000,1.000,1.000
BRATS_32095.nii.gz,0.9193,0.8454,0.8262,1.000,1.000,1.414
BRATS_32096.nii.gz,0.9272,0.8560,0.8287,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9138,0.8452,0.8370,1.000,1.414,1.000
BRATS_32098.nii.gz,0.9085,0.8339,0.8462,1.000,1.414,1.000
BRATS_32099.nii.gz,0.9123,0.8473,0.8574,1.000,1.414,1.000
BRATS_32100.nii.gz,0.9072,0.8321,0.8664,1.414,2.000,1.000
BRATS_32101.nii.gz,0.9022,0.8356,0.8494,1.414,1.414,1.000
BRATS_32102.nii.gz,0.9135,0.8388,0.8307,1.000,1.414,1.000
BRATS_32103.nii.gz,0.9280,0.8532,0.8307,1.000,1.414,1.000
BRATS_32104.nii.gz,0.9449,0.8694,0.8466,1.000,1.000,1.000
BRATS_32105.nii.gz,0.9389,0.8631,0.8464,1.000,1.414,1.000
BRATS_32106.nii.gz,0.9466,0.8722,0.8487,1.000,1.000,1.000
BRATS_32107.nii.gz,0.9435,0.8655,0.8889,1.000,1.000,1.000
BRATS_32256.nii.gz,0.7035,0.7035,1.0000,4.947,4.947,0.000
BRATS_32257.nii.gz,0.7469,0.7469,1.0000,4.472,4.472,0.000
BRATS_32258.nii.gz,0.7866,0.7866,1.0000,3.606,3.606,0.000
BRATS_32259.nii.gz,0.8388,0.8388,0.0000,2.828,2.828,373.129
BRATS_32260.nii.gz,0.8561,0.8561,1.0000,2.236,2.236,0.000
BRATS_32261.nii.gz,0.8715,0.8715,1.0000,2.000,2.000,0.000
BRATS_32262.nii.gz,0.9015,0.9015,1.0000,1.414,1.414,0.000
BRATS_32263.nii.gz,0.9241,0.9241,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9293,0.9293,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9304,0.9304,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9379,0.9379,0.0000,1.000,1.000,373.129
BRATS_32267.nii.gz,0.9260,0.9228,0.3898,1.000,1.000,6.000
BRATS_32268.nii.gz,0.9190,0.9062,0.7039,1.000,1.000,2.000
BRATS_32269.nii.gz,0.8960,0.8755,0.6741,2.000,2.000,11.000
BRATS_32270.nii.gz,0.8609,0.8344,0.6557,2.236,2.236,10.000
BRATS_32271.nii.gz,0.8616,0.8221,0.6706,2.828,2.828,9.434
BRATS_32272.nii.gz,0.9102,0.8494,0.7214,1.000,2.000,5.000
BRATS_32273.nii.gz,0.9231,0.8638,0.7488,1.000,1.414,3.000
BRATS_32274.nii.gz,0.9181,0.8532,0.8060,1.000,2.000,2.000
BRATS_32275.nii.gz,0.9239,0.8464,0.8414,1.000,2.236,1.824
BRATS_32424.nii.gz,0.8076,0.7609,0.8797,3.606,4.000,1.000
BRATS_32425.nii.gz,0.8159,0.7784,0.8915,3.606,4.000,1.000
BRATS_32426.nii.gz,0.8458,0.8179,0.8543,3.138,3.162,1.000
BRATS_32427.nii.gz,0.8207,0.8029,0.8615,3.606,3.606,1.000
BRATS_32428.nii.gz,0.8392,0.8382,0.8535,3.000,2.828,1.000
BRATS_32429.nii.gz,0.8292,0.8386,0.8131,3.000,2.828,4.000
BRATS_32430.nii.gz,0.8123,0.8254,0.6980,4.123,3.606,4.000
BRATS_32431.nii.gz,0.7762,0.7913,0.2326,5.000,4.000,4.472
BRATS_32432.nii.gz,0.8109,0.8277,1.0000,3.606,2.828,0.000
BRATS_32433.nii.gz,0.8000,0.8161,1.0000,3.606,3.000,0.000
BRATS_32434.nii.gz,0.7468,0.7605,1.0000,8.544,6.708,0.000
BRATS_32435.nii.gz,0.7772,0.7899,1.0000,5.831,5.000,0.000
BRATS_32436.nii.gz,0.7225,0.7330,1.0000,9.995,9.220,0.000
BRATS_32437.nii.gz,0.8028,0.8091,1.0000,4.153,4.000,0.000
BRATS_32438.nii.gz,0.8893,0.8908,1.0000,1.414,1.228,0.000
BRATS_32439.nii.gz,0.8031,0.8031,1.0000,3.000,3.000,0.000
BRATS_32440.nii.gz,0.8231,0.8231,1.0000,3.000,3.000,0.000
BRATS_32441.nii.gz,0.6747,0.6747,1.0000,4.472,4.472,0.000
BRATS_32442.nii.gz,0.7310,0.7310,1.0000,4.123,4.123,0.000
BRATS_32443.nii.gz,0.7416,0.7416,1.0000,3.162,3.162,0.000
BRATS_32592.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32593.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32594.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32595.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32596.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32597.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32598.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32599.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32600.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32601.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32602.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32603.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32604.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_32605.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32606.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32607.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32608.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32609.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32610.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32611.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32760.nii.gz,0.2291,0.2291,1.0000,16.929,16.929,0.000
BRATS_32761.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32762.nii.gz,0.0559,0.0559,1.0000,20.353,20.353,0.000
BRATS_32763.nii.gz,0.4267,0.4267,1.0000,14.391,14.391,0.000
BRATS_32764.nii.gz,0.3714,0.3714,1.0000,14.422,14.422,0.000
BRATS_32765.nii.gz,0.4697,0.4697,1.0000,10.158,10.158,0.000
BRATS_32766.nii.gz,0.4866,0.4866,1.0000,12.042,12.042,0.000
BRATS_32767.nii.gz,0.6267,0.6267,1.0000,8.544,8.544,0.000
BRATS_32768.nii.gz,0.6235,0.6235,1.0000,9.000,9.000,0.000
BRATS_32769.nii.gz,0.6569,0.6569,1.0000,14.032,14.032,0.000
BRATS_32770.nii.gz,0.7777,0.7777,1.0000,10.000,10.000,0.000
BRATS_32771.nii.gz,0.7968,0.7968,1.0000,2.828,2.828,0.000
BRATS_32772.nii.gz,0.7892,0.7892,1.0000,3.162,3.162,0.000
BRATS_32773.nii.gz,0.8498,0.8498,1.0000,2.000,2.000,0.000
BRATS_32774.nii.gz,0.8409,0.8409,1.0000,2.236,2.236,0.000
BRATS_32775.nii.gz,0.8521,0.8521,1.0000,2.000,2.000,0.000
BRATS_32776.nii.gz,0.8513,0.8513,1.0000,2.000,2.000,0.000
BRATS_32777.nii.gz,0.8483,0.8483,1.0000,2.000,2.000,0.000
BRATS_32778.nii.gz,0.8831,0.8831,0.0000,1.000,1.000,373.129
BRATS_32779.nii.gz,0.8707,0.8803,0.0000,1.414,1.000,373.129
BRATS_32928.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32929.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32930.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32931.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32932.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32933.nii.gz,0.0000,0.0000,1.0000,373.129,373.129,0.000
BRATS_32934.nii.gz,0.2803,0.2803,1.0000,33.575,33.575,0.000
BRATS_32935.nii.gz,0.3218,0.3218,1.0000,32.216,32.216,0.000
BRATS_32936.nii.gz,0.4757,0.4757,1.0000,28.737,28.737,0.000
BRATS_32937.nii.gz,0.5290,0.5290,1.0000,26.184,26.184,0.000
BRATS_32938.nii.gz,0.6067,0.6067,1.0000,24.240,24.240,0.000
BRATS_32939.nii.gz,0.5598,0.5598,1.0000,23.278,23.278,0.000
BRATS_32940.nii.gz,0.5221,0.5221,1.0000,25.115,25.115,0.000
BRATS_32941.nii.gz,0.5313,0.5313,0.6842,26.012,26.012,4.245
BRATS_32942.nii.gz,0.5838,0.5761,0.7450,15.032,15.033,17.000
BRATS_32943.nii.gz,0.6287,0.6104,0.7614,15.651,16.031,3.000
BRATS_32944.nii.gz,0.6688,0.6305,0.8343,7.000,7.071,1.414
BRATS_32945.nii.gz,0.7222,0.6624,0.7237,5.831,6.000,2.236
BRATS_32946.nii.gz,0.7639,0.6968,0.7546,5.657,6.000,2.000
BRATS_32947.nii.gz,0.7218,0.6420,0.6413,7.280,8.062,3.606
BRATS_33096.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33097.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33098.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33099.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33100.nii.gz,0.0000,0.0000,0.0000,373.129,373.129,373.129
BRATS_33101.nii.gz,0.0991,0.1024,0.3757,16.279,16.279,18.358
BRATS_33102.nii.gz,0.2660,0.2696,0.4506,10.000,10.000,14.213
BRATS_33103.nii.gz,0.3365,0.3124,0.4839,13.601,13.718,14.328
BRATS_33104.nii.gz,0.5066,0.4704,0.6396,13.342,13.387,15.167
BRATS_33105.nii.gz,0.5581,0.5055,0.6622,13.038,13.442,13.033
BRATS_33106.nii.gz,0.5162,0.4878,0.6200,18.363,18.772,16.000
BRATS_33107.nii.gz,0.4793,0.4733,0.6265,17.493,17.972,16.279
BRATS_33108.nii.gz,0.5172,0.4478,0.5992,11.402,12.042,13.747
BRATS_33109.nii.gz,0.5738,0.5360,0.5763,8.485,8.944,11.180
BRATS_33110.nii.gz,0.4577,0.4632,0.5783,11.662,11.705,16.205
BRATS_33111.nii.gz,0.5289,0.5400,0.6386,11.000,10.637,12.207
BRATS_33112.nii.gz,0.7417,0.6345,0.7951,7.071,8.246,3.606
BRATS_33113.nii.gz,0.7136,0.5277,0.7444,10.198,12.166,4.499
BRATS_33114.nii.gz,0.8026,0.6299,0.8065,8.246,11.000,2.236
BRATS_33115.nii.gz,0.8296,0.6764,0.8479,5.385,8.000,1.414
BRATS_33264.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33265.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33266.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33267.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33268.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33269.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33270.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33271.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33272.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33273.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33274.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33275.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33276.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33277.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33278.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33279.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33280.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33281.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33282.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33283.nii.gz,1.0000,1.0000,1.0000,0.000,0.000,0.000
BRATS_33432.nii.gz,0.8868,0.7966,0.8591,2.828,3.162,1.000
BRATS_33433.nii.gz,0.9169,0.8195,0.8394,1.000,2.000,1.000
BRATS_33434.nii.gz,0.9090,0.7796,0.7703,1.414,2.236,2.236
BRATS_33435.nii.gz,0.8741,0.7874,0.7804,3.162,4.123,3.000
BRATS_33436.nii.gz,0.8825,0.7987,0.7631,2.828,3.606,2.828
BRATS_33437.nii.gz,0.8872,0.7906,0.8161,2.236,4.000,2.000
BRATS_33438.nii.gz,0.8774,0.7790,0.7511,2.828,4.123,6.050
BRATS_33439.nii.gz,0.8769,0.7694,0.7937,2.236,4.123,7.582
BRATS_33440.nii.gz,0.8190,0.7807,0.7708,4.000,4.123,12.042
BRATS_33441.nii.gz,0.8006,0.7781,0.8110,5.000,5.000,9.220
