name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
BRATS_32088.nii.gz,0.8923,0.8381,0.8371,1.000,1.414,1.000
BRATS_32089.nii.gz,0.8920,0.8348,0.8081,1.000,1.414,1.414
BRATS_32090.nii.gz,0.9092,0.8392,0.8000,1.000,1.000,1.000
BRATS_32091.nii.gz,0.9221,0.8512,0.8130,1.000,1.000,1.000
BRATS_32092.nii.gz,0.9289,0.8477,0.8004,1.000,1.000,1.000
BRATS_32093.nii.gz,0.9232,0.8264,0.8020,1.000,1.414,1.414
BRATS_32094.nii.gz,0.9151,0.8358,0.8280,1.000,1.414,1.000
BRATS_32095.nii.gz,0.9255,0.8480,0.8330,1.000,1.000,1.000
BRATS_32096.nii.gz,0.9307,0.8554,0.8317,1.000,1.000,1.000
BRATS_32097.nii.gz,0.9260,0.8528,0.8367,1.000,1.000,1.000
BRATS_32098.nii.gz,0.9198,0.8437,0.8602,1.000,1.414,1.000
BRATS_32099.nii.gz,0.9290,0.8495,0.8527,1.000,1.000,1.000
BRATS_32100.nii.gz,0.9121,0.8257,0.8463,1.000,1.414,1.000
BRATS_32101.nii.gz,0.9088,0.8279,0.8365,1.414,1.414,1.414
BRATS_32102.nii.gz,0.9241,0.8374,0.8337,1.000,1.414,1.000
BRATS_32103.nii.gz,0.9390,0.8567,0.8423,1.000,1.000,1.000
BRATS_32104.nii.gz,0.9449,0.8594,0.8599,1.000,1.414,1.000
BRATS_32105.nii.gz,0.9500,0.8665,0.8608,0.100,1.414,1.000
BRATS_32106.nii.gz,0.9567,0.8730,0.8699,0.000,1.000,1.000
BRATS_32107.nii.gz,0.9442,0.8541,0.8862,1.000,1.414,1.000
BRATS_32256.nii.gz,0.6742,0.6738,0.0000,7.000,7.000,373.129
BRATS_32257.nii.gz,0.7087,0.7094,0.0000,6.971,7.000,373.129
BRATS_32258.nii.gz,0.7686,0.7698,0.0000,4.472,4.472,373.129
BRATS_32259.nii.gz,0.8327,0.8327,0.0000,3.000,3.000,29.056
BRATS_32260.nii.gz,0.8620,0.8620,0.0000,2.236,2.236,373.129
BRATS_32261.nii.gz,0.8841,0.8841,1.0000,2.000,2.000,0.000
BRATS_32262.nii.gz,0.9264,0.9266,1.0000,1.000,1.000,0.000
BRATS_32263.nii.gz,0.9320,0.9320,1.0000,1.000,1.000,0.000
BRATS_32264.nii.gz,0.9317,0.9317,1.0000,1.000,1.000,0.000
BRATS_32265.nii.gz,0.9393,0.9393,0.0000,1.000,1.000,373.129
BRATS_32266.nii.gz,0.9369,0.9369,0.3226,1.000,1.000,2.118
BRATS_32267.nii.gz,0.9268,0.9237,0.4426,1.000,1.000,5.955
BRATS_32268.nii.gz,0.9271,0.9190,0.6518,1.000,1.000,2.974
BRATS_32269.nii.gz,0.9309,0.9214,0.6870,1.000,1.000,10.770
BRATS_32270.nii.gz,0.9321,0.9214,0.6854,1.000,1.000,9.439
BRATS_32271.nii.gz,0.9297,0.9051,0.6715,1.000,1.000,8.876
BRATS_32272.nii.gz,0.9492,0.9305,0.6734,1.000,1.000,9.220
BRATS_32273.nii.gz,0.9415,0.9091,0.7027,1.000,1.000,5.831
BRATS_32274.nii.gz,0.9404,0.9025,0.7621,1.000,1.000,2.828
BRATS_32275.nii.gz,0.9404,0.8724,0.8152,1.000,2.000,2.000
BRATS_32424.nii.gz,0.7891,0.7413,0.8909,4.472,5.000,1.000
BRATS_32425.nii.gz,0.7841,0.7446,0.8953,4.472,5.000,1.000
BRATS_32426.nii.gz,0.8292,0.8032,0.8699,3.606,3.606,1.000
BRATS_32427.nii.gz,0.8278,0.8136,0.8621,3.606,3.606,1.000
BRATS_32428.nii.gz,0.8147,0.8148,0.8367,4.000,3.606,2.000
BRATS_32429.nii.gz,0.8115,0.8194,0.7991,3.606,3.162,5.675
BRATS_32430.nii.gz,0.8165,0.8258,0.6926,3.162,3.000,5.000
BRATS_32431.nii.gz,0.7792,0.7876,0.4545,5.000,5.000,3.495
BRATS_32432.nii.gz,0.8067,0.8229,1.0000,4.551,3.606,0.000
