,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
0,BRATS_00002.nii.gz,0.9419,0.8356,0.8561,1.0,1.0,1.0
1,BRATS_00003.nii.gz,0.9329,0.8344,0.8736,1.0,1.0,1.0
2,BRATS_00006.nii.gz,0.931,0.8529,0.9121,1.0,1.0,1.0
3,BRATS_00008.nii.gz,0.9291,0.8537,0.9253,1.0,1.0,1.0
4,BRATS_00016.nii.gz,0.7925,0.7687,0.875,2.2359999999999998,2.2359999999999998,1.541
5,BRATS_00017.nii.gz,0.7892,0.7619,1.0,2.7689999999999997,2.923,0.0
6,BRATS_00170.nii.gz,0.8742,0.8635,0.0,1.0,1.0,373.129
7,BRATS_00172.nii.gz,0.8711,0.8547,0.8235,1.0,1.0,1.083
8,BRATS_00176.nii.gz,0.8904,0.8904,0.881,1.0,1.0,1.0
9,BRATS_00180.nii.gz,0.8839,0.8834,0.8991,1.0,1.0,1.0
10,BRATS_00181.nii.gz,0.8745,0.8692,0.8673,1.0,1.0,1.0
11,BRATS_00338.nii.gz,0.9716,0.971,0.9845,0.0,0.0,0.0
12,BRATS_00343.nii.gz,0.9784,0.97,0.9608,0.0,0.0,0.0
13,BRATS_00347.nii.gz,0.9811,0.9741,0.9669,0.0,0.0,0.0
14,BRATS_00348.nii.gz,0.9863,0.983,0.9741,0.0,0.0,0.0
15,BRATS_00351.nii.gz,0.9821,0.977,0.9745,0.0,0.0,0.0
16,BRATS_00508.nii.gz,0.7656,0.746,0.0,3.0,3.0,373.129
17,BRATS_00510.nii.gz,0.9183,0.9004,0.8429,1.0,1.0,1.444
18,BRATS_00511.nii.gz,0.9376,0.9151,0.9082,1.0,1.0,1.0
19,BRATS_00516.nii.gz,0.9681,0.921,0.9273,0.0,1.0,1.0
20,BRATS_00517.nii.gz,0.9599,0.9194,0.9315,0.0,1.0,1.0
21,BRATS_00519.nii.gz,0.9558,0.8943,0.9091,0.0,1.0,1.0
22,BRATS_00520.nii.gz,0.9651,0.9036,0.9017,0.0,1.0,1.0
23,BRATS_00675.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
24,BRATS_00682.nii.gz,0.8197,0.8197,1.0,1.0,1.0,0.0
25,BRATS_00684.nii.gz,0.8935,0.8935,1.0,1.0,1.0,0.0
26,BRATS_00687.nii.gz,0.9068,0.9068,0.0,1.0,1.0,373.129
27,BRATS_00688.nii.gz,0.8558,0.8558,0.0,5.915,5.915,373.129
28,BRATS_00690.nii.gz,0.9297,0.9297,0.9245,1.0,1.0,1.0
29,BRATS_00691.nii.gz,0.9223,0.9212,0.9496,1.0,1.0,0.15
30,BRATS_00856.nii.gz,0.9771,0.9627,0.963,0.0,0.0,0.0
31,BRATS_01014.nii.gz,0.9778,0.9487,0.9649,0.0,1.0,0.0
32,BRATS_01019.nii.gz,0.9789,0.9487,0.9527,0.0,1.0,0.0
33,BRATS_01024.nii.gz,0.9795,0.9572,0.9706,0.0,0.0,0.0
34,BRATS_01176.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
35,BRATS_01180.nii.gz,0.5,0.5,0.0,20.07,20.07,373.129
36,BRATS_01182.nii.gz,0.7927,0.7901,0.8143,1.4140000000000001,1.4140000000000001,1.444
37,BRATS_01184.nii.gz,0.88,0.8578,0.883,1.0,1.0,1.0
38,BRATS_01187.nii.gz,0.9207,0.8417,0.8872,1.0,1.0,1.0
39,BRATS_01189.nii.gz,0.9338,0.8701,0.8967,1.0,1.0,1.0
40,BRATS_01190.nii.gz,0.9512,0.8871,0.897,0.0,1.0,1.0
41,BRATS_01195.nii.gz,0.9651,0.9107,0.9048,0.0,1.0,1.0
42,BRATS_01344.nii.gz,0.7864,0.7864,1.0,2.0,2.0,0.0
43,BRATS_01350.nii.gz,0.9431,0.9407,0.9519,1.0,1.0,0.0
44,BRATS_01518.nii.gz,0.9328,0.9328,0.5714,1.0,1.0,1.0
45,BRATS_01519.nii.gz,0.929,0.929,0.5263,1.0,1.0,1.041
46,BRATS_01520.nii.gz,0.9572,0.9572,0.7692,0.0,0.0,1.0
47,BRATS_01525.nii.gz,0.961,0.954,0.9532,0.0,0.0,0.0
48,BRATS_01680.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
