,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
0,BRATS_00002.nii.gz,0.9317,0.8194,0.8649,1.0,1.0,1.0
1,BRATS_00003.nii.gz,0.928,0.8299,0.8433,1.0,1.0,1.0
2,BRATS_00006.nii.gz,0.9229,0.8428,0.8924,1.0,1.0,1.0
3,BRATS_00008.nii.gz,0.9404,0.8567,0.9157,1.0,1.0,1.0
4,BRATS_00016.nii.gz,0.6975,0.7294,0.8,3.0,3.6060000000000003,1.649
5,BRATS_00017.nii.gz,0.67,0.6632,1.0,3.9610000000000003,4.0680000000000005,0.0
6,BRATS_00170.nii.gz,0.7945,0.782,0.2857,17.04,17.053,1.4140000000000001
7,BRATS_00172.nii.gz,0.7744,0.7554,0.9412,15.652000000000001,15.652000000000001,0.28300000000000003
8,BRATS_00176.nii.gz,0.8551,0.8551,0.8941,1.619,1.619,1.0
9,BRATS_00180.nii.gz,0.8558,0.8578,0.9091,6.325,5.954,1.0
10,BRATS_00181.nii.gz,0.8653,0.8616,0.8909,6.707999999999999,6.574,1.0
11,BRATS_00338.nii.gz,0.9542,0.9539,0.9706,0.0,0.0,0.0
12,BRATS_00343.nii.gz,0.9644,0.9523,0.9474,0.0,0.0,1.0
13,BRATS_00347.nii.gz,0.9701,0.9617,0.9603,0.0,0.0,0.0
14,BRATS_00348.nii.gz,0.9726,0.9664,0.9624,0.0,0.0,0.0
15,BRATS_00351.nii.gz,0.9694,0.9626,0.9679,0.0,0.0,0.0
16,BRATS_00508.nii.gz,0.6447,0.6245,0.0,4.123,4.123,7.6160000000000005
17,BRATS_00510.nii.gz,0.8632,0.8456,0.8028,2.0,2.0,2.0
18,BRATS_00511.nii.gz,0.9178,0.8948,0.8627,1.0,1.0,1.0
19,BRATS_00516.nii.gz,0.9592,0.9038,0.9321,0.0,1.0,1.0
20,BRATS_00517.nii.gz,0.953,0.9076,0.9272,0.0,1.0,1.0
21,BRATS_00519.nii.gz,0.9506,0.891,0.9228,0.0,1.0,1.0
22,BRATS_00520.nii.gz,0.9583,0.9012,0.9098,0.0,1.0,1.0
23,BRATS_00675.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
24,BRATS_00682.nii.gz,0.7664,0.7547,1.0,1.0,1.311,0.0
25,BRATS_00684.nii.gz,0.9061,0.9061,1.0,1.0,1.0,0.0
26,BRATS_00687.nii.gz,0.9255,0.9199,0.6957,1.0,1.0,1.9
