,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
0,BRATS_00002.nii.gz,0.9381,0.8225,0.8641,1.0,1.0,1.0
1,BRATS_00003.nii.gz,0.938,0.8475,0.8938,1.0,1.0,1.0
2,BRATS_00006.nii.gz,0.9227,0.8442,0.9037,1.0,1.0,1.0
3,BRATS_00008.nii.gz,0.9258,0.8409,0.9143,1.0,1.0,1.0
4,BRATS_00016.nii.gz,0.7712,0.777,0.0,2.68,2.8280000000000003,373.129
5,BRATS_00017.nii.gz,0.6857,0.6701,1.0,5.0,5.035,0.0
6,BRATS_00170.nii.gz,0.7305,0.7168,0.0,3.6060000000000003,3.645,373.129
7,BRATS_00172.nii.gz,0.7826,0.7634,0.6154,15.802999999999999,15.874,1.494
8,BRATS_00176.nii.gz,0.8564,0.8564,0.8837,2.0,2.0,1.0
9,BRATS_00180.nii.gz,0.8494,0.8514,0.9091,5.831,5.763999999999999,1.0
10,BRATS_00181.nii.gz,0.8428,0.837,0.8829,5.831,5.541,1.0
11,BRATS_00338.nii.gz,0.9612,0.9613,0.9846,0.0,0.0,0.0
12,BRATS_00343.nii.gz,0.9723,0.9612,0.9558,0.0,0.0,0.0
13,BRATS_00347.nii.gz,0.9799,0.9721,0.9661,0.0,0.0,0.0
14,BRATS_00348.nii.gz,0.9812,0.9769,0.97,0.0,0.0,0.0
15,BRATS_00351.nii.gz,0.9782,0.9721,0.9702,0.0,0.0,0.0
16,BRATS_00508.nii.gz,0.6781,0.6551,0.0,3.162,3.162,373.129
17,BRATS_00510.nii.gz,0.8991,0.882,0.806,1.0,1.0,2.0
18,BRATS_00511.nii.gz,0.9426,0.9203,0.8615,1.0,1.0,1.0
19,BRATS_00516.nii.gz,0.961,0.9034,0.9418,0.0,1.0,1.0
20,BRATS_00517.nii.gz,0.963,0.9245,0.9401,0.0,1.0,1.0
21,BRATS_00519.nii.gz,0.9528,0.8947,0.9228,0.0,1.0,1.0
22,BRATS_00520.nii.gz,0.9663,0.9105,0.8939,0.0,1.0,1.0
23,BRATS_00675.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
24,BRATS_00682.nii.gz,0.8103,0.8103,1.0,1.104,1.104,0.0
25,BRATS_00684.nii.gz,0.8882,0.8882,1.0,1.0,1.0,0.0
26,BRATS_00687.nii.gz,0.8988,0.8988,0.0,1.0,1.0,373.129
27,BRATS_00688.nii.gz,0.8487,0.8487,0.1786,2.2359999999999998,2.2359999999999998,6.143
28,BRATS_00690.nii.gz,0.9229,0.918,0.902,1.0,1.0,1.0
