,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
0,BRATS_00002.nii.gz,0.9352,0.8278,0.861,1.0,1.021,1.0
1,BRATS_00003.nii.gz,0.9356,0.8402,0.8881,1.0,1.0,1.0
2,BRATS_00006.nii.gz,0.9194,0.8442,0.9057,1.0,1.0,1.0
3,BRATS_00008.nii.gz,0.941,0.8571,0.9174,1.0,1.0,1.0
4,BRATS_00016.nii.gz,0.6762,0.6875,0.8,5.0,5.0,1.7819999999999998
5,BRATS_00017.nii.gz,0.7753,0.7136,1.0,2.6510000000000002,2.897,0.0
6,BRATS_00170.nii.gz,0.7902,0.7801,0.3333,17.066,17.084,2.031
7,BRATS_00172.nii.gz,0.7913,0.7722,0.8889,15.811,15.89,1.062
8,BRATS_00176.nii.gz,0.8747,0.881,0.8675,1.4140000000000001,1.444,1.0
9,BRATS_00180.nii.gz,0.8545,0.8539,0.8972,6.325,5.905,1.0
10,BRATS_00181.nii.gz,0.8553,0.8446,0.8909,5.814,5.692,1.0
11,BRATS_00338.nii.gz,0.9488,0.949,0.9792,1.0,1.0,0.0
12,BRATS_00343.nii.gz,0.9695,0.9576,0.9492,0.0,0.0,0.95
13,BRATS_00347.nii.gz,0.973,0.9639,0.9692,0.0,0.0,0.0
14,BRATS_00348.nii.gz,0.9749,0.97,0.9713,0.0,0.0,0.0
15,BRATS_00351.nii.gz,0.9716,0.9647,0.9716,0.0,0.0,0.0
16,BRATS_00508.nii.gz,0.6508,0.629,0.0,3.6060000000000003,3.6060000000000003,373.129
17,BRATS_00510.nii.gz,0.9035,0.8862,0.8194,1.0,1.0,2.0
18,BRATS_00511.nii.gz,0.9242,0.9017,0.8529,1.0,1.0,1.0
19,BRATS_00516.nii.gz,0.9628,0.9077,0.9358,0.0,1.0,1.0
20,BRATS_00517.nii.gz,0.9489,0.9082,0.9228,1.0,1.0,1.0
21,BRATS_00519.nii.gz,0.9489,0.8861,0.9149,1.0,1.0,1.0
22,BRATS_00520.nii.gz,0.9635,0.9068,0.8943,0.0,1.0,1.0
23,BRATS_00675.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
24,BRATS_00682.nii.gz,0.8039,0.7921,1.0,1.0,1.0,0.0
25,BRATS_00684.nii.gz,0.8936,0.8991,1.0,1.0,1.0,0.0
26,BRATS_00687.nii.gz,0.8917,0.8877,0.6957,1.0,1.0,1.9
27,BRATS_00688.nii.gz,0.8875,0.8875,0.6234,1.0,1.0,3.0
28,BRATS_00690.nii.gz,0.9226,0.921,0.9208,1.0,1.0,1.0
29,BRATS_00691.nii.gz,0.9254,0.9253,0.9386,1.0,1.0,1.0
30,BRATS_00856.nii.gz,0.9375,0.9132,0.9532,1.0,1.0,0.0
31,BRATS_01014.nii.gz,0.9633,0.9277,0.9519,0.0,1.0,0.0
32,BRATS_01019.nii.gz,0.9674,0.9277,0.9462,0.0,1.0,1.0
33,BRATS_01024.nii.gz,0.9697,0.9393,0.9541,0.0,1.0,0.0
34,BRATS_01176.nii.gz,0.0,0.0,0.0,373.129,373.129,373.129
35,BRATS_01180.nii.gz,0.4375,0.4667,0.3333,7.1339999999999995,7.148,7.19
36,BRATS_01182.nii.gz,0.744,0.75,0.7883,2.0,2.106,1.083
37,BRATS_01184.nii.gz,0.8538,0.827,0.861,1.4140000000000001,1.4140000000000001,1.0
38,BRATS_01187.nii.gz,0.9065,0.8285,0.8668,1.0,1.0,1.0
39,BRATS_01189.nii.gz,0.9224,0.8667,0.8894,1.0,1.0,1.0
40,BRATS_01190.nii.gz,0.9286,0.8634,0.8998,1.0,1.0,1.0
41,BRATS_01195.nii.gz,0.9424,0.8699,0.8789,1.0,1.0,1.0
42,BRATS_01344.nii.gz,0.7448,0.7424,1.0,2.0,2.0,0.0
43,BRATS_01350.nii.gz,0.9221,0.9232,0.9423,1.0,1.0,1.0
44,BRATS_01518.nii.gz,0.9259,0.927,0.6667,1.0,1.0,1.0
45,BRATS_01519.nii.gz,0.9122,0.911,0.6087,1.0,1.0,1.0
46,BRATS_01520.nii.gz,0.9436,0.9436,0.8421,1.0,1.0,1.0
47,BRATS_01525.nii.gz,0.9486,0.938,0.9138,1.0,1.0,1.0
48,BRATS_01680.nii.gz,0.0,0.0,0.0,373.129,373.129,373.129
49,BRATS_01681.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
50,BRATS_01688.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
51,BRATS_01689.nii.gz,0.0,0.0,0.0,373.129,373.129,373.129
52,BRATS_01695.nii.gz,0.8702,0.8702,0.7843,1.0,1.0,3.5
53,BRATS_02016.nii.gz,0.8955,0.8743,0.954,1.4140000000000001,1.4140000000000001,0.0
54,BRATS_02020.nii.gz,0.9389,0.9279,0.9654,1.0,1.0,0.0
55,BRATS_02021.nii.gz,0.9327,0.9167,0.971,1.0,1.0,0.0
56,BRATS_02024.nii.gz,0.96,0.9448,0.9724,0.0,1.0,0.0
57,BRATS_02025.nii.gz,0.9595,0.9453,0.9686,0.0,1.0,0.0
58,BRATS_02026.nii.gz,0.9634,0.9518,0.9772,0.0,0.0,0.0
59,BRATS_02027.nii.gz,0.967,0.9528,0.9731,0.0,0.0,0.0
60,BRATS_02033.nii.gz,0.97,0.9603,0.955,0.0,0.0,0.0
61,BRATS_02184.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
62,BRATS_02189.nii.gz,0.875,0.875,1.0,1.0,1.0,0.0
63,BRATS_02196.nii.gz,0.8836,0.8402,0.8864,1.0,1.4140000000000001,1.0
64,BRATS_02201.nii.gz,0.9207,0.8661,0.8259,1.0,1.0,1.0
65,BRATS_02202.nii.gz,0.93,0.8814,0.8661,1.0,1.0,1.0
66,BRATS_02356.nii.gz,0.0,0.0,0.0,373.129,373.129,373.129
67,BRATS_02370.nii.gz,0.9467,0.9498,1.0,1.0,0.1,0.0
68,BRATS_02520.nii.gz,0.0,0.0,0.0,373.129,373.129,373.129
69,BRATS_02523.nii.gz,0.8,0.7692,1.0,1.1079999999999999,1.216,0.0
70,BRATS_02530.nii.gz,0.8392,0.8364,1.0,1.0,1.0,0.0
71,BRATS_02533.nii.gz,0.8424,0.8434,1.0,1.0,1.0,0.0
72,BRATS_02534.nii.gz,0.7865,0.7911,0.6286,2.0,1.4140000000000001,8.3
73,BRATS_02537.nii.gz,0.9399,0.9342,0.9446,1.0,1.0,1.0
74,BRATS_02689.nii.gz,0.9518,0.9359,0.9633,0.0,1.0,0.0
75,BRATS_02699.nii.gz,0.9551,0.9467,0.9131,0.0,1.0,1.0
76,BRATS_02703.nii.gz,0.9429,0.9379,0.9441,1.0,1.0,1.0
77,BRATS_02704.nii.gz,0.935,0.9254,0.9167,1.0,1.0,1.0
78,BRATS_02706.nii.gz,0.9203,0.9146,0.9139,1.0,1.0,1.0
79,BRATS_02875.nii.gz,0.2059,0.2059,1.0,10.667,10.667,0.0
80,BRATS_03034.nii.gz,0.9459,0.9323,0.9619,1.0,1.0,0.0
